x	f(x)	P1(x)	P2(x)	P3(x)	P4(x)	P5(x)	Q1(x)	Q2(x)	Q3(x)	Q4(x)	Q5(x)
-1	-0.891061	-0.539137	-0.538193	-0.854895	-0.854765	-0.851243	-0.539137	-0.538193	-0.854895	-0.854042	-0.835107	
-1	-0.806801	-0.539137	-0.538193	-0.854895	-0.854765	-0.851243	-0.539137	-0.538193	-0.854895	-0.854042	-0.835107	
-1	-0.828131	-0.539137	-0.538193	-0.854895	-0.854765	-0.851243	-0.539137	-0.538193	-0.854895	-0.854042	-0.835107	
-0.98	-0.78261	-0.528381	-0.527493	-0.806191	-0.806056	-0.802903	-0.528381	-0.527493	-0.806191	-0.805509	-0.792254	
-0.98	-0.75592	-0.528381	-0.527493	-0.806191	-0.806056	-0.802903	-0.528381	-0.527493	-0.806191	-0.805509	-0.792254	
-0.98	-0.79037	-0.528381	-0.527493	-0.806191	-0.806056	-0.802903	-0.528381	-0.527493	-0.806191	-0.805509	-0.792254	
-0.96	-0.790187	-0.517624	-0.516793	-0.759405	-0.759266	-0.756472	-0.517624	-0.516793	-0.759405	-0.758878	-0.750501	
-0.96	-0.711387	-0.517624	-0.516793	-0.759405	-0.759266	-0.756472	-0.517624	-0.516793	-0.759405	-0.758878	-0.750501	
-0.96	-0.735347	-0.517624	-0.516793	-0.759405	-0.759266	-0.756472	-0.517624	-0.516793	-0.759405	-0.758878	-0.750501	
-0.94	-0.718918	-0.506868	-0.506091	-0.714499	-0.714356	-0.71191	-0.506868	-0.506091	-0.714499	-0.714112	-0.709874	
-0.94	-0.706508	-0.506868	-0.506091	-0.714499	-0.714356	-0.71191	-0.506868	-0.506091	-0.714499	-0.714112	-0.709874	
-0.94	-0.682108	-0.506868	-0.506091	-0.714499	-0.714356	-0.71191	-0.506868	-0.506091	-0.714499	-0.714112	-0.709874	
-0.92	-0.690587	-0.496112	-0.495387	-0.671432	-0.671288	-0.669178	-0.496112	-0.495387	-0.671432	-0.671172	-0.670398	
-0.92	-0.655127	-0.496112	-0.495387	-0.671432	-0.671288	-0.669178	-0.496112	-0.495387	-0.671432	-0.671172	-0.670398	
-0.92	-0.623787	-0.496112	-0.495387	-0.671432	-0.671288	-0.669178	-0.496112	-0.495387	-0.671432	-0.671172	-0.670398	
-0.9	-0.679585	-0.485356	-0.484683	-0.630166	-0.630022	-0.628236	-0.485356	-0.484683	-0.630166	-0.630019	-0.632094	
-0.9	-0.654545	-0.485356	-0.484683	-0.630166	-0.630022	-0.628236	-0.485356	-0.484683	-0.630166	-0.630019	-0.632094	
-0.9	-0.665075	-0.485356	-0.484683	-0.630166	-0.630022	-0.628236	-0.485356	-0.484683	-0.630166	-0.630019	-0.632094	
-0.88	-0.59859	-0.474599	-0.473978	-0.590662	-0.590519	-0.589044	-0.474599	-0.473978	-0.590662	-0.590615	-0.594979	
-0.88	-0.5925	-0.474599	-0.473978	-0.590662	-0.590519	-0.589044	-0.474599	-0.473978	-0.590662	-0.590615	-0.594979	
-0.88	-0.62295	-0.474599	-0.473978	-0.590662	-0.590519	-0.589044	-0.474599	-0.473978	-0.590662	-0.590615	-0.594979	
-0.86	-0.56446	-0.463843	-0.463271	-0.55288	-0.552739	-0.551563	-0.463843	-0.463271	-0.55288	-0.552921	-0.55907	
-0.86	-0.57148	-0.463843	-0.463271	-0.55288	-0.552739	-0.551563	-0.463843	-0.463271	-0.55288	-0.552921	-0.55907	
-0.86	-0.60897	-0.463843	-0.463271	-0.55288	-0.552739	-0.551563	-0.463843	-0.463271	-0.55288	-0.552921	-0.55907	
-0.84	-0.5725	-0.453087	-0.452564	-0.516781	-0.516643	-0.515753	-0.453087	-0.452564	-0.516781	-0.516899	-0.524379	
-0.84	-0.5516	-0.453087	-0.452564	-0.516781	-0.516643	-0.515753	-0.453087	-0.452564	-0.516781	-0.516899	-0.524379	
-0.84	-0.50121	-0.453087	-0.452564	-0.516781	-0.516643	-0.515753	-0.453087	-0.452564	-0.516781	-0.516899	-0.524379	
-0.82	-0.454462	-0.44233	-0.441855	-0.482327	-0.482192	-0.481574	-0.44233	-0.441855	-0.482327	-0.482511	-0.490915	
-0.82	-0.444442	-0.44233	-0.441855	-0.482327	-0.482192	-0.481574	-0.44233	-0.441855	-0.482327	-0.482511	-0.490915	
